Name,Brand,Price,Currency,Image,AltText,NewImage,URL,ProductID,Size,Supplier,Origin,Category_1,Category_2,Highlights,Description
Harvest Tomato Paste - 800 gram,Harvest,56.25,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd7/hf5/14952246640670/373805_main.jpg_200Wx200H,Harvest Tomato Paste - 800 gram,https://cdnprod.mafretailproxy.com/sys-master-root/haf/hee/14952246870046/373805_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/tomato-paste/harvest-tomato-paste-800g/p/373805,373805,800g,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"tomato paste gives your dishes a bright and natural tomatoes colour along with the right flavour of tanginess and perfect consistency and thickness.
This product could be your secret to consistently delicious cooking.","Harvest Tomato Paste is a product made from fresh, ripened and hand-picked tomatoes.
tomato paste gives your dishes a bright and natural tomatoes colour along with the right flavour of tanginess and perfect consistency and thickness.
This product could be your secret to consistently delicious cooking."
El Bawadi Plain Halwa - 970 gram.,El bawadi,124.9,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2c/h34/44951079747614/200Wx200H_286702_main.jpg,El Bawadi Plain Halwa - 970 gram.,https://cdnprod.mafretailproxy.com/sys-master-root/h6d/h30/44951079878686/1700Wx1700H_286702_main.jpg,https://www.carrefouregypt.com/mafegy/en/hallawa/el-bawadi-halawa-plain-970g/p/286702,286702,970G,Carrefour,Egypt,Food Cupboard,"Jams, Honey & Spreads","This rich and delicious Arabic confectionery is typically served after meal's and is a delectable delicacy.
The experience of Arabic cuisine is incomplete without tasting the Halawa.","The El Bawadi Halawa plain is a wonderful way to satisfy your sweet tooth.
This Halawa is delicious and has a rich, creamy texture.
This rich and delicious Arabic confectionery is typically served after meal's and is a delectable delicacy.
The experience of Arabic cuisine is incomplete without tasting the Halawa."
El Bawadi Tahina - 480 gram,El bawadi,84.95,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h20/h48/44951079190558/200Wx200H_107929_main.jpg,El Bawadi Tahina - 480 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h11/h42/44951079321630/1700Wx1700H_107929_main.jpg,https://www.carrefouregypt.com/mafegy/en/tahini/el-bawady-tehina-480g/p/107929,107929,480g,Carrefour,Egypt,Food Cupboard,"Condiments, Dressings & Marinades","You can serve it solely or use it as a major ingredient in hummus, baba ghanoush, and halva.
Served as a dip on hummus, baba ghanoush, and halva serve this tahini paste with grilled meats or roasted vegetables, or use it as a base for a silky avocado dip or an herby salad dressing simply food.","The El Bawadi tahina is the finest tahina made from toasted, ground hulled sesame.
You can serve it solely or use it as a major ingredient in hummus, baba ghanoush, and halva.
Served as a dip on hummus, baba ghanoush, and halva serve this tahini paste with grilled meats or roasted vegetables, or use it as a base for a silky avocado dip or an herby salad dressing simply food."
Afia Sunflower Oil - 1.6 Liters,Afia,139.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd5/hff/15070726357022/485578_main.jpg_200Wx200H,Afia Sunflower Oil - 1.6 Liters,https://cdnprod.mafretailproxy.com/sys-master-root/h15/hfc/15070726488094/485578_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/sunflower-oil/afia-sun-flower-oil-1-6-li/p/485578,485578,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,This oil also helps keep the heart healthy and warm on festivities.,"Relish your favorite dishes with the Afia sunflower oil without worrying about health.
It's an active, safe, and light oil filled with essential nutrients such as cholesterol, vitamins, and fatty acids.
Not only this oil makes food taste good, but it also makes it easy to digest.
This oil also helps keep the heart healthy and warm on festivities."
Afia Plus Corn Oil - 1.6 Liter,Afia,154.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h94/h3f/15173295243294/546295_main.jpg_200Wx200H,Afia Plus Corn Oil - 1.6 Liter,https://cdnprod.mafretailproxy.com/sys-master-root/h63/h49/15173295505438/546295_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/corn-oil/afia-corn-plus-1-6-l/p/546295,546295,1.6L,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"It is rich in nutrients and antioxidants, which cut down on bad cholesterol and protect your body from harmful radicals.","Afia Corn oil is produced to the highest quality and is ideal for the preparation of healthy food.
It is rich in nutrients and antioxidants, which cut down on bad cholesterol and protect your body from harmful radicals."
El Rashidi El Mizan Tahina - 450 gram,El rashidi el mizan,89.35,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7f/h7d/47857084661790/200Wx200H_17570_main.jpg,El Rashidi El Mizan Tahina - 450 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hc0/h79/47857084792862/1700Wx1700H_17570_main.jpg,https://www.carrefouregypt.com/mafegy/en/tahini/el-mizan-tahina-450g/p/17570,17570,450g,Carrefour,Egypt,Food Cupboard,"Condiments, Dressings & Marinades","Tahina is a popular Middle Eastern topping that is best served as a side dish with oriental meat dishes, fish dishes, as a dip or complimentary to molasses or as a salad (Hummus, Tahina Salad), made of 100% pure sesame.
There are a variety of nutrients in it, including protein, healthy fat, minerals and many others.","The El Rashidi El Mizan Tahina is a delicious condiment made up of toasted ground sesame.
It is made up of natural ingredients that offer texture, taste, and flavor to your food.
It is a major ingredient in hummus, baba ghanoush, or separately as a savory dish.
Tahina is a popular Middle Eastern topping that is best served as a side dish with oriental meat dishes, fish dishes, as a dip or complimentary to molasses or as a salad (Hummus, Tahina Salad), made of 100% pure sesame.
There are a variety of nutrients in it, including protein, healthy fat, minerals and many others."
Italiano Penne Premium Pasta - 400 grams,Italiano,19,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb6/ha7/14610715705374/16886_main.jpg_200Wx200H,Italiano Penne Premium Pasta - 400 grams,https://cdnprod.mafretailproxy.com/sys-master-root/he6/ha0/14610715901982/16886_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/short-cut-pasta/italiano-pasta-penne-400g/p/16886,16886,400g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses","You can prepare hot delicious pasta using Italiano Pasta in a fairly lesser time.
The perfect hollow center of the pasta helps hold sauce and makes it more delicious.","Italiano Penne Premium Pasta is made with 100% fine quality durum wheat.
Very healthy since it is nil cholesterol, nil fat, and a good source of iron, protein, and fiber.
You can prepare hot delicious pasta using Italiano Pasta in a fairly lesser time.
The perfect pasta helps hold the sauce and makes it more delicious."
Crystal Sunflower Oil - 800ml,Crystal,69.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2d/h21/15070778228766/543988_main.jpg_200Wx200H,Crystal Sunflower Oil - 800ml,https://cdnprod.mafretailproxy.com/sys-master-root/h6e/h1d/15070778359838/543988_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/sunflower-oil/crystal-sunflower-oil-0-800-l/p/543988,543988,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"It is low in saturated fat and is beneficial for heart health.
Healthy, natural sunflower oil is produced from oil type sunflower seeds.","Sunflower oil is light in taste and appearance and supplies more Vitamin E than any other vegetable oil.
It is low in saturated fat and is beneficial for heart health.
Healthy, natural sunflower oil is produced from oil type sunflower seeds."
Italiano Pasta Spaghetti - 400 Gm,Italiano,19,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcb/haf/14895209381918/16891_main.jpg_200Wx200H,Italiano Pasta Spaghetti - 400 Gm,https://cdnprod.mafretailproxy.com/sys-master-root/hbc/ha9/14895209512990/16891_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/spaghetti/italiano-pasta-spaghetti-400g/p/16891,16891,400g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses","It is low in cholesterol and high in fibre.
So you can rest assured that you are eating healthy & tasty food every day.
It is the most delicious pasta you have ever had.
It is also a source of dietary fibre which slows down the absorption of carbohydrates and fats in the body, thereby making you feel satiated for a longer period of time.","Pasta is crafted from the finest durum semolina and turned into mouth-watering and nutritious meals.
It is low in cholesterol and high in fibre.
So you can rest assured that you are eating healthy & tasty food every day.
It is the most delicious pasta you have ever had.
It is also a source of dietary fibre which slows down the absorption of carbohydrates and fats in the body, thereby making you feel satiated for a longer period of time."
Wadi Food Extra Virgin Olive Oil 500ml,Wadi Food,351.9,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h62/h7f/14623522816030/417127_main.jpg_200Wx200H,Wadi Food Extra Virgin Olive Oil 500ml,https://cdnprod.mafretailproxy.com/sys-master-root/he7/h30/14623523012638/417127_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/olive-oil/wadi-f-extra-virgin-olive-oil-500/p/417127,417127,500ml,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"It is made from carefully selected organic olives to give you a wonderful and light taste in meals Alfa market offers you a unique group of olive oil for healthy and light meals.
Whole olives are pressed to produce this distinctive oil.
The oil is used in cosmetics, medicine, cooking, and soaps, and was also used as a fuel for traditional lamps.
Olive oil originally came from the Mediterranean.","The extra virgin olive oil from wadi food is the best selling product, it is made from carefully selected organic olives to give you a wonderful and light taste in meals Alfa market offers you a unique group of olive oil for healthy and light meals.
Whole olives are pressed to produce this distinctive oil.
The oil is used in cosmetics, medicine, cooking, and soaps, and was also used as a fuel for traditional lamps.
Olive oil originally came from the Mediterranean."
Afia Corn Oil - 2.2 Liter,Afia,219.95,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb0/h91/15070785175582/544732_main.jpg_200Wx200H,Afia Corn Oil - 2.2 Liter,https://cdnprod.mafretailproxy.com/sys-master-root/ha1/h8b/15070785306654/544732_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/corn-oil/afia-corn-oil-2-2l/p/544732,544732,2.2L,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Not only does the oil make the food taste good, but it also makes it easy to digest.","Eat without worrying about your health with the Afia corn oil.
This is an active, safe, and light oil that is filled with essential nutrients, including vitamins, antioxidants, and fatty acids not only does the oil make the food taste good, but it also makes it easy to digest."
El Rashid El Mizan Tahina - 700 gram,El rashidi el mizan,129.95,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfc/h9c/47857217699870/200Wx200H_488194_main.jpg,El Rashid El Mizan Tahina - 700 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hda/h96/47857217830942/1700Wx1700H_488194_main.jpg,https://www.carrefouregypt.com/mafegy/en/tahini/el-mizan-tahina-700g/p/488194,488194,,Carrefour,Egypt,Food Cupboard,"Condiments, Dressings & Marinades","Tahina is a popular Middle Eastern topping that is best served as a side dish with oriental meat dishes, fish dishes, as a dip or complimentary to molasses or as a salad (Hummus, Tahina Salad), made of 100% pure sesame.
There are a variety of nutrients in it, including protein, healthy fat, minerals and many others.","The El Rashidi El Mizan Tahina is a delicious condiment made up of toasted ground sesame.
It is made up of natural ingredients that offer texture, taste, and flavor to your food.
It is a major ingredient in hummus, baba ghanoush, or separately as a savory dish.
Tahina is a popular Middle Eastern topping that is best served as a side dish with oriental meat dishes, fish dishes, as a dip or complimentary to molasses or as a salad (Hummus, Tahina Salad), made of 100% pure sesame.
There are a variety of nutrients in it, including protein, healthy fat, minerals and many others."
El-Maleka Pasta Stripy Penne - 400 Gm,Elmaleka,12,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hef/hdb/48236963495966/200Wx200H_46863_main.jpg,El-Maleka Pasta Stripy Penne - 400 Gm,https://cdnprod.mafretailproxy.com/sys-master-root/hdf/hd5/48236963627038/1700Wx1700H_46863_main.jpg,https://www.carrefouregypt.com/mafegy/en/short-cut-pasta/elmaleka-pasta-stripy-penne-400g/p/46863,46863,400g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses",Serves as the perfect foundation for a satisfying meal.,"Pasta is the ideal partner for so many other foods, including fiber rich vegetables and beans, antioxidant rich tomato sauce and protein packed cheeses.
Serves as the perfect foundation for a satisfying meal."
Harvest Tomato Paste - 375 gram,Harvest,28.7,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2e/hfa/26493624680478/375049_main.jpg_200Wx200H,Harvest Tomato Paste - 375 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hc2/hff/26493624811550/375049_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/tomato-paste/harvest-tomato-paste-375g/p/375049,375049,375g,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"tomato paste gives your dishes a bright and natural tomatoes colour along with the right flavour of tanginess and perfect consistency and thickness.
This product could be your secret to consistently delicious cooking.","Harvest Tomato Paste is a product made from fresh, ripened and hand-picked tomatoes.
tomato paste gives your dishes a bright and natural tomatoes colour along with the right flavour of tanginess and perfect consistency and thickness.
This product could be your secret to consistently delicious cooking."
El-Maleka Pasta Vermicelli - 400 Gm,Elmaleka,12,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h16/he3/48236963266590/200Wx200H_46903_main.jpg,El-Maleka Pasta Vermicelli - 400 Gm,https://cdnprod.mafretailproxy.com/sys-master-root/h45/hdc/48236963463198/1700Wx1700H_46903_main.jpg,https://www.carrefouregypt.com/mafegy/en/vermicelli/elmaleka-vermicelli-400g/p/46903,46903,400g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses","Ideal to serve with soups and sauces for an enhanced taste.
Makes for an ideal addition to party menus.
Made from rich ingredients to offer an authentic taste.","Gives you an energetic and invigorating experience for your taste buds.
It is 100 percent vegetarian and has dietary fiber which helps digestion and satisfies hunger.
Take pleasure in the tanginess in the pasta that is non-sticky.
Ideal to serve with soups and sauces for an enhanced taste.
Makes for an ideal addition to party menus.
Made from rich ingredients to offer an authentic taste."
Crystal Corn Oil - 1.6 Liter,Crystal,168.3,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2c/hae/15070722129950/488093_main.jpg_200Wx200H,Crystal Corn Oil - 1.6 Liter,https://cdnprod.mafretailproxy.com/sys-master-root/h59/haa/15070722261022/488093_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/corn-oil/crystal-corn-oil-1-6l/p/488093,488093,1.6L,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Each drop of our corn oil is rich in vitamins that keeps you and your family constantly vitalized and energized.
these Corn oil has a variety of uses, both in cooking and non cooking applications.
The way of cooking food is most important.
these corn oil is ideal for frying and, It has high MUFA and PUFA and also has the highest antioxidants which help in reducing bad cholesterol.
Good for heart patients as it reduces blood pressure.","Crystal corn oil is cholesterol free and reduces the risk of cardiovascular diseases.
It is rich in omega 6, a useful type of acid that maintains health, especially of the heart.
Each drop of our corn oil is rich in vitamins that keeps you and your family constantly vitalized and energized.
these Corn oil has a variety of uses, both in cooking and non cooking applications.
The way of cooking food is most important.
these corn oil is ideal for frying and, It has high MUFA and PUFA and also has the highest antioxidants which help in reducing bad cholesterol.
Good for heart patients as it reduces blood pressure."
El Mizan Plain Halawa - 900 gm,El rashidi el mizan,135.5,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h54/hc3/47857220157470/200Wx200H_534858_main.jpg,El Mizan Plain Halawa - 900 gm,https://cdnprod.mafretailproxy.com/sys-master-root/h95/hbf/47857220288542/1700Wx1700H_534858_main.jpg,https://www.carrefouregypt.com/mafegy/en/hallawa/el-mizan-halawa-plain-900g/p/534858,534858,900 gm,Carrefour,Egypt,Food Cupboard,"Jams, Honey & Spreads","El Mizan Plain Halawa is high on protein and dietary fibre and is gluten-free.
It is a healthy dessert, snack for adults and even children, ideal for satiating your sweet cravings.
No added preservatives or colours.
Our sterilized packaging ensures a very high shelf life.","El Mizan Plain Halawa is made with California Almonds and pure desi ghee.
Our authentic homemade recipe is made purely with almonds with no other fillers, giving you a truly premium experience.
Its perfect texture is enhanced with the flavours of Cardamom and Saffron.
El Mizan Plain Halawa is high on protein and dietary fibre and is gluten-free.
It is a healthy dessert, snack for adults and even children, ideal for satiating your sweet cravings.
No added preservatives or colours.
Our sterilized packaging ensures a very high shelf life."
N1 Instant Coffee - 200gm,N1,144.95,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5a/h0a/9055663259678/124395_main.jpg_200Wx200H,N1 Instant Coffee - 200gm,https://cdnprod.mafretailproxy.com/sys-master-root/h3c/h14/9055663521822/124395_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/regular-instant-coffee/n1-instant-coffee-200g/p/124395,124395,200g,Carrefour,Egypt,Beverages,Coffee,"This smooth coffee mix is an excellent way to kick start the day.
The classic creamy flavour of mint chocolate is not to be missed.
Now savour the authentic flavour in every sip with this pure coffee.
It is easy to make without any hassle.","N1 Instant Coffee brings to you the authentic taste of coffee in its purest form.
It is 100% pure granulated freeze-dried coffee with the perfect blend of high-quality mint chocolate flavour.
The coffee is finely sorted and roasted to perfection it delivers a mix that retains its qualities for a long time.
This smooth coffee mix is an excellent way to kick start the day.
The classic creamy flavour of mint chocolate is not to be missed.
Now savour the authentic flavour in every sip with this pure coffee.
It is easy to make without any hassle."
El Maleka Penne Pasta - 1 kg,Elmaleka,28,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha7/hcb/48236963921950/200Wx200H_251412_main.jpg,El Maleka Penne Pasta - 1 kg,https://cdnprod.mafretailproxy.com/sys-master-root/h3c/h80/48236964053022/1700Wx1700H_251412_main.jpg,https://www.carrefouregypt.com/mafegy/en/short-cut-pasta/elmaleka-pasta-penne-1kg/p/251412,251412,1Kg,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses",Serves as the perfect foundation for a satisfying meal.,"Pasta is the ideal partner for so many other foods, including fiber rich vegetables and beans, antioxidant rich tomato sauce and protein packed cheeses.
Serves as the perfect foundation for a satisfying meal."
El Hanim Vegetable Ghee - 1.5kg,El Hanim,117.3,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hef/hab/15070607638558/98975_main.jpg_200Wx200H,El Hanim Vegetable Ghee - 1.5kg,https://cdnprod.mafretailproxy.com/sys-master-root/hae/haf/15070607769630/98975_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/vegetable-ghee/el-hanim-vegetable-ghee-1-5k/p/98975,98975,1.5kg,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"You can use El Hanim vegetable ghee for your regular cooking El Hanim as it is a perfect combination of health and taste.
This vegetable ghee contains vitamins a, d, and beta carotene which helps you boost your metabolism.","El Hanim Vegetable Ghee offers a rich aroma and taste that makes it wonderful to add to your food preparations.
Made from the freshest ingredients to give you excellent quality.
Makes a handy addition to your pantry for everyday cooking.
You can use El Hanim vegetable ghee for your regular cooking El Hanim as it is a perfect combination of health and taste.
This vegetable ghee contains vitamins a, d, and beta carotene which helps you boost your metabolism."
Italiano Small Rings Pasta - 400 grams,Italiano,19,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h75/ha7/14610621726750/16901_main.jpg_200Wx200H,Italiano Small Rings Pasta - 400 grams,https://cdnprod.mafretailproxy.com/sys-master-root/hb6/ha3/14610621857822/16901_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/short-cut-pasta/italiano-pasta-small-rings-400g/p/16901,16901,400g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses","It is low in cholesterol and high in fibre.
So you can rest assured that you are eating healthy & tasty food every day.
It is the most delicious pasta you have ever had.
It is also a source of dietary fibre which slows down the absorption of carbohydrates and fats in the body, thereby making you feel satiated for a longer period of time.","Pasta is crafted from the finest durum semolina and turned into mouth-watering and nutritious meals.
It is low in cholesterol and high in fibre.
So you can rest assured that you are eating healthy & tasty food every day.
It is the most delicious pasta you have ever had.
It is also a source of dietary fibre which slows down the absorption of carbohydrates and fats in the body, thereby making you feel satiated for a longer period of time."
El Maleka Small Rings Pasta - 400 gm,Elmaleka,12,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2c/he7/48236963102750/200Wx200H_46905_main.jpg,El Maleka Small Rings Pasta - 400 gm,https://cdnprod.mafretailproxy.com/sys-master-root/h6d/he3/48236963233822/1700Wx1700H_46905_main.jpg,https://www.carrefouregypt.com/mafegy/en/short-cut-pasta/elmaleka-pasta-small-rings-400g/p/46905,46905,400g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses",Serves as the perfect foundation for a satisfying meal.,"Pasta is the ideal partner for so many other foods, including fiber rich vegetables and beans, antioxidant rich tomato sauce and protein packed cheeses.
Serves as the perfect foundation for a satisfying meal."
